score,review,language
1,Il grande ritorno!: E' dai tempi del tour di?,it
1,La reencarnaci¢n vista por un cient¡fico: El?,es
1,Excelente Libro / Amazing book!!: Este libro?,en
1,Magnifico libro: Brian Weiss ha dejado una ma...,es
1,El libro mas completo que existe para nosotra...,es
1,Excelente!: Una excelente gu¡a para todos aqu...,es
1,Nightwish is unique and rocks for eva: Moi to...,fr
1,Palabras de aliento para tu caminar con Dios:...,es
0,Completement nul: Fait sur commande et ennuya...,fr
1,fabuloso: mil gracias por el producto fabulos...,es
0,"Geh: Blah blah, sexy girl, blah blah, fightin...",id
1,Excelentes botas.. excelentes boots: Excelent?,es
0,Why not Spanish ???: Alguien me puede decir p...,es
1,"La mejor pel¡cula de Moore: A mi juicio, esta...",es
0,De la poudre aux yeux: J'ai achet‚ un Sansa V?,fr
1,C'est magnifique! il y a du vrai dans ce qui'...,fr
1,"Erreur: ""Les Triplettes de Belleville"" n'a pa...",fr
1,"Buen cargador: Product very good, I am of Ven...",es
1,5+ stars. LO MEJOR DE LO QUE HE LEIDO EN MI V...,es
0,certains bugs viennent tout gacher: le jeu es?,fr
1,Variedad: Bueno tener este album debido a su?,es
0,Disappointing. Does not deserve to be a 'clas?.,en
0,Ich weiá ja nicht !: Also ich finde es ja tol...,de
1,1F4T: Cet album est chant‚ vraiment bien.Jea...,fr
1,Exelente eleccion: Los mejores zapatos de fut...,es
1,Jean de Florette et Manon des sources: bien a...,fr
1,Excelente: Manu es una de los mejores cantant?,es
0,DVD CON PROBLEMAS: ESTE DVD LLEGO EN BUEN TIE...,de
0,baaaaaadddddddd bookkkkkkk: por favor no gast...,es
